Date,Abertura,Máxima,Mínima,Fechamento
2023-01-02,24.43,24.530000686645508,24.040000915527344,24.489999771118164
2023-01-03,24.49,24.649999618530273,23.829999923706055,23.979999542236328
2023-01-04,24.06,24.520000457763672,23.8799991607666,24.049999237060547
2023-01-05,24.1,24.90999984741211,24.020000457763672,24.799999237060547
2023-01-06,24.93,25.309999465942383,24.799999237060547,25.229999542236328
2023-01-09,25.0,25.65999984741211,24.889999389648438,25.40999984741211
2023-01-10,25.13,26.0,24.920000076293945,25.899999618530273
2023-01-11,25.88,26.479999542236328,25.760000228881836,26.350000381469727
2023-01-12,25.5,26.309999465942383,25.399999618530273,25.979999542236328
2023-01-13,25.61,25.889999389648438,25.139999389648438,25.850000381469727
2023-01-16,25.75,25.850000381469727,25.290000915527344,25.56999969482422
2023-01-17,25.66,26.149999618530273,25.489999771118164,26.100000381469727
2023-01-18,26.37,26.639999389648438,26.200000762939453,26.56999969482422
2023-01-19,26.23,26.65999984741211,26.040000915527344,26.56999969482422
2023-01-20,26.66,26.68000030517578,26.030000686645508,26.100000381469727
2023-01-23,26.04,26.170000076293945,25.200000762939453,25.299999237060547
2023-01-24,25.49,26.030000686645508,25.34000015258789,25.530000686645508
2023-01-25,25.53,25.75,25.020000457763672,25.6200008392334
2023-01-26,25.65,25.739999771118164,25.239999771118164,25.469999313354492
2023-01-27,25.41,25.459999084472656,24.81999969482422,24.93000030517578
2023-01-30,24.99,25.059999465942383,24.530000686645508,24.940000534057617
2023-01-31,25.11,25.59000015258789,25.09000015258789,25.329999923706055
2023-02-01,25.19,25.5,24.780000686645508,24.979999542236328
2023-02-02,24.8,25.969999313354492,24.700000762939453,25.209999084472656
2023-02-03,24.9,25.360000610351562,24.829999923706055,25.1200008392334
2023-02-06,25.24,25.239999771118164,24.719999313354492,25.1299991607666
2023-02-07,25.2,25.280000686645508,24.260000228881836,24.549999237060547
2023-02-08,25.45,26.610000610351562,25.31999969482422,26.579999923706055
2023-02-09,26.65,26.8700008392334,25.790000915527344,25.920000076293945
2023-02-10,25.72,25.979999542236328,25.510000228881836,25.799999237060547
2023-02-13,25.78,26.829999923706055,25.780000686645508,26.709999084472656
2023-02-14,26.75,26.8799991607666,26.309999465942383,26.3799991607666
2023-02-15,26.28,27.06999969482422,26.1200008392334,26.770000457763672
2023-02-16,26.59,27.09000015258789,26.420000076293945,26.969999313354492
2023-02-17,26.96,27.149999618530273,26.700000762939453,26.8799991607666
2023-02-22,26.3,26.510000228881836,26.260000228881836,26.3799991607666
2023-02-23,26.41,27.059999465942383,26.360000610351562,26.479999542236328
2023-02-24,26.25,26.309999465942383,25.549999237060547,25.670000076293945
2023-02-27,25.79,25.799999237060547,25.280000686645508,25.34000015258789
2023-02-28,25.4,25.829999923706055,25.18000030517578,25.43000030517578
2023-03-01,25.32,25.350000381469727,24.389999389648438,25.0
2023-03-02,24.9,25.200000762939453,24.040000915527344,24.18000030517578
2023-03-03,24.34,24.59000015258789,24.09000015258789,24.209999084472656
2023-03-06,24.44,25.040000915527344,24.110000610351562,24.760000228881836
2023-03-07,24.85,24.8799991607666,24.299999237060547,24.829999923706055
2023-03-08,24.99,25.329999923706055,24.760000228881836,25.139999389648438
2023-03-09,25.0,25.079999923706055,24.610000610351562,24.65999984741211
2023-03-10,24.55,24.610000610351562,23.889999389648438,24.06999969482422
2023-03-13,23.77,24.06999969482422,23.469999313354492,23.780000686645508
2023-03-14,23.56,23.950000762939453,23.469999313354492,23.700000762939453
2023-03-15,23.37,23.760000228881836,23.020000457763672,23.639999389648438
2023-03-16,23.66,24.149999618530273,23.520000457763672,24.030000686645508
2023-03-17,23.9,23.920000076293945,23.299999237060547,23.34000015258789
2023-03-20,23.4,23.860000610351562,23.18000030517578,23.399999618530273
2023-03-21,23.5,24.149999618530273,23.5,23.8799991607666
2023-03-22,23.95,24.25,23.68000030517578,23.739999771118164
2023-03-23,23.75,24.25,22.889999389648438,23.149999618530273
2023-03-24,23.16,23.420000076293945,22.739999771118164,23.219999313354492
2023-03-27,23.5,23.780000686645508,23.3799991607666,23.6200008392334
2023-03-28,23.64,23.920000076293945,23.5,23.729999542236328
2023-03-29,23.75,24.079999923706055,23.579999923706055,23.959999084472656
2023-03-30,24.32,24.799999237060547,24.219999313354492,24.6200008392334
2023-03-31,24.74,25.09000015258789,24.489999771118164,24.739999771118164
2023-04-03,24.68,24.700000762939453,23.809999465942383,24.030000686645508
2023-04-04,24.14,24.709999084472656,24.1200008392334,24.510000228881836
2023-04-05,24.57,24.809999465942383,24.18000030517578,24.489999771118164
2023-04-06,24.56,24.670000076293945,24.229999542236328,24.40999984741211
2023-04-10,24.64,24.75,24.510000228881836,24.670000076293945
2023-04-11,25.2,25.6200008392334,25.010000228881836,25.469999313354492
2023-04-12,25.64,26.020000457763672,25.3700008392334,25.639999389648438
2023-04-13,25.76,25.90999984741211,25.450000762939453,25.639999389648438
2023-04-14,25.55,26.1299991607666,25.440000534057617,26.010000228881836
2023-04-17,26.05,26.239999771118164,25.719999313354492,25.959999084472656
2023-04-18,26.01,26.239999771118164,25.68000030517578,25.940000534057617
2023-04-19,25.75,25.850000381469727,25.489999771118164,25.530000686645508
2023-04-20,25.39,25.68000030517578,25.209999084472656,25.600000381469727
2023-04-24,25.59,25.780000686645508,25.18000030517578,25.3700008392334
2023-04-25,25.2,25.719999313354492,25.200000762939453,25.600000381469727
2023-04-26,25.53,25.65999984741211,25.299999237060547,25.34000015258789
2023-04-27,25.33,25.799999237060547,25.329999923706055,25.790000915527344
